domain;subdivision;class;PR2_Ecological_function;trophic_mode
Eukaryota;Alveolata_X;Alveolata_XX;parasites;parasites
Eukaryota;Ancyromonadida_X;Ancyromonadida_XX;phagotrophs;NA
Eukaryota;Apicomplexa;Apicomplexa_X;parasites;parasites
Eukaryota;Apicomplexa;Coccidiomorphea;parasites;parasites
Eukaryota;Apicomplexa;Gregarinomorphea;parasites;parasites
Eukaryota;Bigyra;Bicoecea;phagotrophs;phagotrophs
Eukaryota;Bigyra;Opalozoa;phagotrophs;phagotrophs
Eukaryota;Bigyra;Sagenista;phagotrophs;phagotrophs
Eukaryota;Centroplasthelida_X;Centroplasthelida_XX;phagotrophs;phagotrophs
Eukaryota;Centroplasthelida_X;Pterocystida;phagotrophs;phagotrophs
Eukaryota;Cercozoa;Cercozoa_X;phagotrophs;phagotrophs
Eukaryota;Cercozoa;Endomyxa;phagotrophs;phagotrophs
Eukaryota;Cercozoa;Endomyxa-Phytomyxea;phagotrophs;phagotrophs
Eukaryota;Cercozoa;Filosa-Granofilosea;phagotrophs;phagotrophs
Eukaryota;Cercozoa;Filosa-Imbricatea;phagotrophs;phagotrophs
Eukaryota;Cercozoa;Filosa-Sarcomonadea;phagotrophs;phagotrophs
Eukaryota;Cercozoa;Filosa-Thecofilosea;phagotrophs;phagotrophs
Eukaryota;Cercozoa;Novel-clade-10-12;phagotrophs;NA
Eukaryota;Chlorophyta_X;Chlorodendrophyceae;phototrophs;phototrophs
Eukaryota;Chlorophyta_X;Chlorophyceae;phototrophs;phototrophs
Eukaryota;Chlorophyta_X;Chlorophyta_XX;phototrophs;phototrophs
Eukaryota;Chlorophyta_X;Mamiellophyceae;phototrophs;phototrophs
Eukaryota;Chlorophyta_X;Nephroselmidophyceae;phototrophs;phototrophs
Eukaryota;Chlorophyta_X;Pedinophyceae;phototrophs;phototrophs
Eukaryota;Chlorophyta_X;Pyramimonadophyceae;phototrophs;phototrophs
Eukaryota;Chlorophyta_X;Trebouxiophyceae;phototrophs;phototrophs
Eukaryota;Chlorophyta_X;Ulvophyceae;phototrophs;phototrophs
Eukaryota;Choanoflagellata;Choanoflagellatea;phagotrophs;phagotrophs
Eukaryota;Chrompodellids;Colpodellidea;phagotrophs;phagotrophs
Eukaryota;Ciliophora;Armophorea;phagotrophs;phagotrophs
Eukaryota;Ciliophora;Colpodea;phagotrophs;phagotrophs
Eukaryota;Ciliophora;CONTH_2;phagotrophs;phagotrophs
Eukaryota;Ciliophora;CONTH_3;phagotrophs;phagotrophs
Eukaryota;Ciliophora;CONTH_4;phagotrophs;phagotrophs
Eukaryota;Ciliophora;CONTH_5;phagotrophs;phagotrophs
Eukaryota;Ciliophora;CONTH_7;phagotrophs;phagotrophs
Eukaryota;Ciliophora;CONThreeP;phagotrophs;phagotrophs
Eukaryota;Ciliophora;Heterotrichea;phagotrophs;phagotrophs
Eukaryota;Ciliophora;Karyorelictea;phagotrophs;phagotrophs
Eukaryota;Ciliophora;Litostomatea;phagotrophs;phagotrophs
Eukaryota;Ciliophora;Nassophorea;phagotrophs;phagotrophs
Eukaryota;Ciliophora;Oligohymenophorea;phagotrophs;phagotrophs
Eukaryota;Ciliophora;Phyllopharyngea;phagotrophs;phagotrophs
Eukaryota;Ciliophora;Prostomatea;phagotrophs;phagotrophs
Eukaryota;Ciliophora;Prostomatea_1;phagotrophs;phagotrophs
Eukaryota;Ciliophora;Prostomatea_2;phagotrophs;phagotrophs
Eukaryota;Ciliophora;Prostomatea_3;phagotrophs;phagotrophs
Eukaryota;Ciliophora;Spirotrichea;phagotrophs;phagotrophs
Eukaryota;Colponemidia;Colponemidia_X;phagotrophs;phagotrophs
Eukaryota;Cryptophyta_X;Cryptophyceae;phototrophs;mixotrophs
Eukaryota;Dinoflagellata;Dinophyceae;dinoflagellates;mixotrophs
Eukaryota;Dinoflagellata;Dinophyta_X;dinoflagellates;mixotrophs
Eukaryota;Discoba_X;Discoba_XX;parasites;parasites
Eukaryota;Discosea_X;Centramoebia;phagotrophs;phagotrophs
Eukaryota;Evosea_X;Variosea;phagotrophs;phagotrophs
Eukaryota;Filasterea;Filasterea_X;phagotrophs;phagotrophs
Eukaryota;Fungi;Aphelidiomycota;parasites;parasites
Eukaryota;Fungi;Ascomycota;phagotrophs;phagotrophs
Eukaryota;Fungi;Basidiomycota;phagotrophs;phagotrophs
Eukaryota;Fungi;Blastocladiomycota;parasites;parasites
Eukaryota;Fungi;Chytridiomycota;parasites;parasites
Eukaryota;Fungi;Fungi_X;parasites;parasites
Eukaryota;Fungi;Mucoromycota;parasites;parasites
Eukaryota;Fungi;Opisthosporidia;parasites;parasites
Eukaryota;Fungi;Rozellomycota;parasites;parasites
Eukaryota;Fungi;Sanchytriomycota;parasites;parasites
Eukaryota;Fungi;Zoopagomycota;parasites;parasites
Eukaryota;Glaucophyta_X;Glaucocystophyceae;phototrophs;phototrophs
Eukaryota;Gyrista;Bacillariophyceae;phototrophs;phototrophs
Eukaryota;Gyrista;Bolidophyceae;phototrophs;phototrophs
Eukaryota;Gyrista;Chrysophyceae;phototrophs;phototrophs
Eukaryota;Gyrista;Coscinodiscophyceae;phototrophs;phototrophs
Eukaryota;Gyrista;Dictyochophyceae;phototrophs;phototrophs
Eukaryota;Gyrista;Eustigmatophyceae;phototrophs;phototrophs
Eukaryota;Gyrista;Gyrista_X;phagotrophs;phagotrophs
Eukaryota;Gyrista;Hyphochytriomyceta;parasites;parasites
Eukaryota;Gyrista;Mediophyceae;phototrophs;phototrophs
Eukaryota;Gyrista;MOCH-3;phototrophs;phototrophs
Eukaryota;Gyrista;Peronosporomycetes;parasites;parasites
Eukaryota;Gyrista;Pirsoniales;parasites;parasites
Eukaryota;Gyrista;Raphidophyceae;phototrophs;phototrophs
Eukaryota;Gyrista;Synchromophyceae;phototrophs;phototrophs
Eukaryota;Gyrista;Xanthophyceae;phototrophs;phototrophs
Eukaryota;Haptophyta_X;Pavlovophyceae;phototrophs;phototrophs
Eukaryota;Haptophyta_X;Prymnesiophyceae;phototrophs;phototrophs
Eukaryota;Hemimastigophora_X;Hemimastigophora_XX;phagotrophs;phagotrophs
Eukaryota;Ichthyosporea;Dermocystida;parasites;parasites
Eukaryota;Ichthyosporea;Ichthyophonida;parasites;parasites
Eukaryota;Kathablepharida;Kathablepharidea;phagotrophs;phagotrophs
Eukaryota;Nebulidia_X;Nebulidea;phagotrophs;NA
Eukaryota;Parabasalia;Trichomonadea;parasites;parasites
Eukaryota;Perkinsea;Perkinsea_X;parasites;parasites
Eukaryota;Perkinsea;Perkinsida;parasites;parasites
Eukaryota;Pluriformea;Pluriformea_X;phagotrophs;phagotrophs
Eukaryota;Preaxostyla;Preaxostyla_X;parasites;parasites
Eukaryota;Rhizaria_X;Rhizaria_XX;phagotrophs;phagotrophs
Eukaryota;Rhodophyta_X;Bangiophyceae;phototrophs;phototrophs
Eukaryota;Rigifilida_X;Rigifilida_XX;phagotrophs;phagotrophs
Eukaryota;Rotosphaerida;Rotosphaerida_X;phagotrophs;phagotrophs
Eukaryota;Stramenopiles_X;Stramenopiles_X-Group-3;phagotrophs;NA
Eukaryota;Stramenopiles_X;Stramenopiles_XX;phagotrophs;NA
Eukaryota;Telonemia_X;Telonemia_XX;phagotrophs;phagotrophs
Eukaryota;Tubulinea_X;Echinamoebida;phagotrophs;phagotrophs
Eukaryota;Tubulinea_X;Elardia;phagotrophs;phagotrophs