Taxa	Biovolume	source
Cyanocatena	703	Pierre
Kirchneriella	84	Pierre
Monoraphidium	61	Pierre
Pediastrum	5273	Pierre
Tetraedron	823	Pierre
Scenedesmus	628	Pierre
Phacotus	975	Pierre
Oocystis_lacustris	2065	Pierre
Lagerheimia	254	Pierre
Crucigenia	182	Pierre
Cosmarium	372	Pierre
Closterium	530	Pierre
Cyclotella	3231	Pierre
Dinobryon	272	Pierre
Trachelomonas	1950	Pierre
Coelastrum_microporum	149	Pierre
Schroederia	513	Pierre
Elakatothrix	115	Pierre
Cryptomonas	2761	Pierre
Chroomonas	154	Pierre
Peridinium	10819	Pierre
Aphanothece	1509	Pierre
Oocystis	2065	Pierre
Goniochloris	248	Pierre
Chroococcus	351	Pierre
Bumilleriopsis	1.6	PLOS
Coelastrum	149	Pierre
Tetrastrum	299	Pierre
Golenkinia	1022	Pierre
Cosmrium	372	Pierre
Planktolyngbya	323	Pierre
Dolichospermum	2941	Pierre
Limnothrix	364	Pierre
Ankyra	2277	Pierre
Actinastrum_hantzschii	189	Pierre
Nitzschia	2748	Pierre
Aphanizomenon	2529	Pierre
Euglena	3794	Pierre
Chlamydomonas	1539	Pierre
Navicula	371	Pierre
Sphaerocystis	524	Pierre
Gomphonema	262	Pierre
Ulnaria	1200	Pierre
Diatoma	1085	Pierre
Melosira	5700	moyenne PEG
Merismopedia	1	Pierre
Cocconeis	4638	Pierre
Aulacoseira	1988	Pierre
Sphaerocystis_schroeteri	524	Pierre
Oocystislacustris	2065	Pierre
Dictyosphaerium	73	Pierre
Coccomyxa	6.14	PEG
Aphanizomenon_gracile	2529	Pierre
Phormidium	981	Pierre
Tetraedron_minimum	823	Pierre
Asterionella	858	Pierre
Fragilaria	673	Pierre
Ceratium_hirundinella	20412	Pierre
Microcystis	74	Pierre
Pseudanabaena	250	Pierre
Volvox	2729	Pierre
Staurastrum	3	Pierre
Ochromonas	37.7	Pierre
Chlorella	142.5	PEG
Botryococcus	67.02	Pierre
Snowella	17	Pierre
Botryococcus_braunii	67.02	Pierre
Epithemia	1983	Pierre
Colacium	359	PEG
Coenochloris	524	Pierre
Pediastrum_tetras	3475	Pierre
Glaucospira	0	no data
Woronichinia	369	Pierre
Eunotia	223	PEG
Planktothrix	3	Pierre
Cosmacladium	5011	Pierre
Euastrum	5011	Pierre
Cymbella	1322	Pierre
KYSTES	0	Pierre
Stauroneis	122649	Fonseca 2014
Achnanthes	1983	Pierre
Amphora	18840	Pierre
Chroococcus_Synechocystis	58	Pierre
Coelomoron	63	Pierre
Centronella	636	Pierre
Phacus	2235	Pierre
TAXA	0	Pierre
Merismopedia_minutissima	1	Pierre
Raphidocelis	23	Pierre
Peridiniopsis	15830	Pierre
Geitlerinema	962	Pierre
Mougeotia	8266	Pierre
Cuspidothrix	1696	Pierre
Woronichinia_naegeliana	369	Pierre
Ankyraancora	2277	Pierre
Pediastrum_boryanum	6587	Pierre
Pediastrum_duplex	3475	Pierre
Closteriopsis_longissima	1139	PEG
	1	no data Chroococales
Ceratium	20412	Pierre
Crucigenia_tetrapedia	46	Pierre
Shroederia	513	Pierre
Planktolyngbya_circumcreta	323	Pierre
Pinnularia	84255	Pierre
Ulnaria_ulna	1200	Pierre
Monoraphidium_griffithii	61	Pierre
Taxa(ND)	0	Pierre
Pandorina	13675	Pierre
Pteromonas	0	no data
Actinastrum	189	Pierre
Micractinium	54.8	Pierre
Monoraphidium_minutum	61	Pierre
Tribonema_minus	336.7	Fonseca 2014